albumid,albumgroup,albumtype,name,releasedate,releasedateprecision,totaltracks,type,uri,label,popularity,artistid
4iCZcV72xlNx4xWqzAu4XW,single,single,Take No L's,2019-11-26,day,1,album,spotify:album:4iCZcV72xlNx4xWqzAu4XW,247 ENT,0,2e3qEeLCBtEqsbsgYDtrO0
5q1TZ0vnka1OZu3bcnQvlX,single,single,Certified Bangers,2019-11-02,day,1,album,spotify:album:5q1TZ0vnka1OZu3bcnQvlX,247 ENT,0,2e3qEeLCBtEqsbsgYDtrO0
00iVKQ8skv0DWsPnJeHDS6,single,single,Roll With A Gangster,2019-10-30,day,1,album,spotify:album:00iVKQ8skv0DWsPnJeHDS6,247 ENT,0,2e3qEeLCBtEqsbsgYDtrO0
2T819wMR0NZLWJmbqQGhAF,single,single,Get The Wap,2019-07-22,day,1,album,spotify:album:2T819wMR0NZLWJmbqQGhAF,247 ENT,0,2e3qEeLCBtEqsbsgYDtrO0
4rqjR7uKSrdbe22qh1bNeG,single,single,Like Jodeci,2016-02-14,day,1,album,spotify:album:4rqjR7uKSrdbe22qh1bNeG,247 ENT,0,2e3qEeLCBtEqsbsgYDtrO0
4goBfD1y92lRNsftSKeEsF,album,album,Quitter,2024-02-09,day,11,album,spotify:album:4goBfD1y92lRNsftSKeEsF,Nettwerk Music Group,34,6i8Tae6takoQos2JZ4vdRn
2I0dFovhOqkE4CIY664OW3,album,album,Conscious Self,2023-07-04,day,8,album,spotify:album:2I0dFovhOqkE4CIY664OW3,YUNG,0,7qTGTu7954wxj65m7ZUqTF
0tUNlUVBHtya0RTVv4Gd6e,album,album,Subject to Change,2021-11-12,day,11,album,spotify:album:0tUNlUVBHtya0RTVv4Gd6e,Nettwerk Music Group,33,6i8Tae6takoQos2JZ4vdRn
10EEtxa3DUelYpXC3T2AHO,single,single,Who You Share It With (feat. Katelyn Tarver),2024-11-15,day,1,album,spotify:album:10EEtxa3DUelYpXC3T2AHO,Blackwatch Records,45,6i8Tae6takoQos2JZ4vdRn
3OxUzdCeW70ouhJBMhSoqz,single,single,Wayne Gretzky,2022-04-29,day,2,album,spotify:album:3OxUzdCeW70ouhJBMhSoqz,YUNG,0,7qTGTu7954wxj65m7ZUqTF
3HH1E3Vb3OL30V1kxKUSZF,single,single,Strangers,2024-07-19,day,1,album,spotify:album:3HH1E3Vb3OL30V1kxKUSZF,Nettwerk Music Group,24,6i8Tae6takoQos2JZ4vdRn
