id,name,popularity,type,uri,totalfollowers,href,genres,lastsynctime
1cP3VgqGdBT2u1LR6l0nxC,DJ Prezzplay,31,artist,spotify:artist:1cP3VgqGdBT2u1LR6l0nxC,1121,https://api.spotify.com/v1/artists/1cP3VgqGdBT2u1LR6l0nxC,,2025-06-08 06:02:09.827626
7rulB34zQMrJ5lHoluIDiE,Azamat Abdualiev,0,artist,spotify:artist:7rulB34zQMrJ5lHoluIDiE,0,https://api.spotify.com/v1/artists/7rulB34zQMrJ5lHoluIDiE,,2025-06-08 06:02:40.131283
3frL72H7DIaeoJVBfFpasc,Tonystar,0,artist,spotify:artist:3frL72H7DIaeoJVBfFpasc,100,https://api.spotify.com/v1/artists/3frL72H7DIaeoJVBfFpasc,,2025-06-08 06:05:22.408307
1tPjILOuTuIsdLuiuJyDPF,Патимат Кагирова,5,artist,spotify:artist:1tPjILOuTuIsdLuiuJyDPF,312,https://api.spotify.com/v1/artists/1tPjILOuTuIsdLuiuJyDPF,,2025-06-08 06:05:42.692589
3fuAKA2ES7VqDflASVs6nU,Kts Lil Art,0,artist,spotify:artist:3fuAKA2ES7VqDflASVs6nU,0,https://api.spotify.com/v1/artists/3fuAKA2ES7VqDflASVs6nU,,2025-06-08 06:29:06.119334
5y2M2Yh2I8CoR2Ms1h9n9h,Squirt G,0,artist,spotify:artist:5y2M2Yh2I8CoR2Ms1h9n9h,0,https://api.spotify.com/v1/artists/5y2M2Yh2I8CoR2Ms1h9n9h,,2025-06-08 06:29:26.603238
0odavyMoMy3EOB03rrgpA5,HunnitK Nate,0,artist,spotify:artist:0odavyMoMy3EOB03rrgpA5,0,https://api.spotify.com/v1/artists/0odavyMoMy3EOB03rrgpA5,,2025-06-08 06:29:57.700801
0CqFrtb44LASq73T3Cmvcz,TayDoeBandz,0,artist,spotify:artist:0CqFrtb44LASq73T3Cmvcz,0,https://api.spotify.com/v1/artists/0CqFrtb44LASq73T3Cmvcz,,2025-06-08 06:29:57.621742
4WuneF1jnkGkmL96XXnKJY,Andrey Mitev,0,artist,spotify:artist:4WuneF1jnkGkmL96XXnKJY,1,https://api.spotify.com/v1/artists/4WuneF1jnkGkmL96XXnKJY,opera,2000-01-01 00:00:00.000000
6N5AUuDa1ud0GdIsNwNc2H,SOM,0,artist,spotify:artist:6N5AUuDa1ud0GdIsNwNc2H,0,https://api.spotify.com/v1/artists/6N5AUuDa1ud0GdIsNwNc2H,experimental,2025-06-09 00:29:50.729239
0jyIdSnFU2KoTUKJqn7Dj3,Artcrime,13,artist,spotify:artist:0jyIdSnFU2KoTUKJqn7Dj3,596,https://api.spotify.com/v1/artists/0jyIdSnFU2KoTUKJqn7Dj3,"lo-fi house,breakbeat",2025-06-08 03:49:40.142581
0kPQnkxRCKloZQfgXfrqQO,Rover,37,artist,spotify:artist:0kPQnkxRCKloZQfgXfrqQO,19725,https://api.spotify.com/v1/artists/0kPQnkxRCKloZQfgXfrqQO,french indie pop,2025-06-08 05:58:27.220706
3nkkY2mnJp6qI8xr0Z1Yxq,PENNY,17,artist,spotify:artist:3nkkY2mnJp6qI8xr0Z1Yxq,429,https://api.spotify.com/v1/artists/3nkkY2mnJp6qI8xr0Z1Yxq,,2025-06-08 05:58:37.351117
6Rk5urtNOTibOzsndSA6qp,Anna Jean,25,artist,spotify:artist:6Rk5urtNOTibOzsndSA6qp,444,https://api.spotify.com/v1/artists/6Rk5urtNOTibOzsndSA6qp,,2025-06-08 05:58:47.423074
6AluyH3pmYDJdDpiJsQTl8,Rainbow Bridge,4,artist,spotify:artist:6AluyH3pmYDJdDpiJsQTl8,471,https://api.spotify.com/v1/artists/6AluyH3pmYDJdDpiJsQTl8,stoner rock,2025-06-08 03:48:08.976943
