trackid,albumid,discnumber,durationms,explicit,href,isplayable,name,previewurl,tracknumber,type,uri
7ff10TZ58RK7f2m8sDWN9l,72zMbKQrTwm8SXFPzAn870,1,235613,False,https://api.spotify.com/v1/tracks/7ff10TZ58RK7f2m8sDWN9l,False,上を向いて歩こう,,6,Track,spotify:track:7ff10TZ58RK7f2m8sDWN9l
6idac5n2JfeXjFZQyJ5ekY,72zMbKQrTwm8SXFPzAn870,1,254906,False,https://api.spotify.com/v1/tracks/6idac5n2JfeXjFZQyJ5ekY,False,Show me what you’ve got,,7,Track,spotify:track:6idac5n2JfeXjFZQyJ5ekY
2UE9I1H8z3QHxISxH7cJnC,72zMbKQrTwm8SXFPzAn870,1,291000,False,https://api.spotify.com/v1/tracks/2UE9I1H8z3QHxISxH7cJnC,False,同じ願いで duet with 真崎ゆか,,8,Track,spotify:track:2UE9I1H8z3QHxISxH7cJnC
107IaM17d7bCrQX8m1Btn3,72zMbKQrTwm8SXFPzAn870,1,261000,False,https://api.spotify.com/v1/tracks/107IaM17d7bCrQX8m1Btn3,False,片想い duet with JAMOSA,,9,Track,spotify:track:107IaM17d7bCrQX8m1Btn3
6DZmMAEWUtArSIgUToHXdU,72zMbKQrTwm8SXFPzAn870,1,283453,False,https://api.spotify.com/v1/tracks/6DZmMAEWUtArSIgUToHXdU,False,Your Love,,10,Track,spotify:track:6DZmMAEWUtArSIgUToHXdU
1OTTAFRnezLw8IVuiMgJ34,72zMbKQrTwm8SXFPzAn870,1,292066,False,https://api.spotify.com/v1/tracks/1OTTAFRnezLw8IVuiMgJ34,False,君じゃなきゃ duet with 安田奈央,,11,Track,spotify:track:1OTTAFRnezLw8IVuiMgJ34
0olFoF2r6uEdWDgolWp6rT,72zMbKQrTwm8SXFPzAn870,1,305106,False,https://api.spotify.com/v1/tracks/0olFoF2r6uEdWDgolWp6rT,False,I’m in love,,12,Track,spotify:track:0olFoF2r6uEdWDgolWp6rT
04W5lhgwHV0Q0V93giinmP,72zMbKQrTwm8SXFPzAn870,1,262160,False,https://api.spotify.com/v1/tracks/04W5lhgwHV0Q0V93giinmP,False,I will be there duet with Azumi,,13,Track,spotify:track:04W5lhgwHV0Q0V93giinmP
5xGxaGVxytlmoJLSnHRZi2,7049nv5T44ySYdQew5lJ3I,1,32613,False,https://api.spotify.com/v1/tracks/5xGxaGVxytlmoJLSnHRZi2,False,Prologue,,1,Track,spotify:track:5xGxaGVxytlmoJLSnHRZi2
1EEJi55kr4V44pOb22vldr,7049nv5T44ySYdQew5lJ3I,1,269973,False,https://api.spotify.com/v1/tracks/1EEJi55kr4V44pOb22vldr,False,いとしすぎて,,2,Track,spotify:track:1EEJi55kr4V44pOb22vldr
036fe0M4HIgRmvA4KXzIDz,7049nv5T44ySYdQew5lJ3I,1,265866,False,https://api.spotify.com/v1/tracks/036fe0M4HIgRmvA4KXzIDz,False,君に言えなかった想い duet with May J．,,3,Track,spotify:track:036fe0M4HIgRmvA4KXzIDz
1Jn0NSiX6KVNF3v8lj9ItN,7049nv5T44ySYdQew5lJ3I,1,278200,False,https://api.spotify.com/v1/tracks/1Jn0NSiX6KVNF3v8lj9ItN,False,You can fly,,4,Track,spotify:track:1Jn0NSiX6KVNF3v8lj9ItN
1cW1FBBQWn7qAvEPjAyW9d,7049nv5T44ySYdQew5lJ3I,1,239493,False,https://api.spotify.com/v1/tracks/1cW1FBBQWn7qAvEPjAyW9d,False,Time after time duet with NOKKO,,5,Track,spotify:track:1cW1FBBQWn7qAvEPjAyW9d
3e95w8IJhcIu1EJxEVi5qL,7049nv5T44ySYdQew5lJ3I,1,306360,False,https://api.spotify.com/v1/tracks/3e95w8IJhcIu1EJxEVi5qL,False,叶わない恋でも・・・ duet with 滴草由実,,6,Track,spotify:track:3e95w8IJhcIu1EJxEVi5qL
6avUi7cQANNJQ80IqqHQ89,7049nv5T44ySYdQew5lJ3I,1,428720,False,https://api.spotify.com/v1/tracks/6avUi7cQANNJQ80IqqHQ89,False,Everything,,7,Track,spotify:track:6avUi7cQANNJQ80IqqHQ89
412i1yfAqcu6sa5V02KuZx,7049nv5T44ySYdQew5lJ3I,1,81360,False,https://api.spotify.com/v1/tracks/412i1yfAqcu6sa5V02KuZx,False,Epilogue,,8,Track,spotify:track:412i1yfAqcu6sa5V02KuZx
3lXcq8fa9UxLav5PpX8Mme,0yAIdfcwpn7FZUX2jMWUDe,1,266533,False,https://api.spotify.com/v1/tracks/3lXcq8fa9UxLav5PpX8Mme,False,どんなに離れても,,1,Track,spotify:track:3lXcq8fa9UxLav5PpX8Mme
4l8odTFe7cQtaY8M9MWHQx,0yAIdfcwpn7FZUX2jMWUDe,1,254493,False,https://api.spotify.com/v1/tracks/4l8odTFe7cQtaY8M9MWHQx,False,By your side,,2,Track,spotify:track:4l8odTFe7cQtaY8M9MWHQx
0p84fqneILGI0ljT2kQx4o,0yAIdfcwpn7FZUX2jMWUDe,1,270253,False,https://api.spotify.com/v1/tracks/0p84fqneILGI0ljT2kQx4o,False,いとしすぎて,,3,Track,spotify:track:0p84fqneILGI0ljT2kQx4o
6m9VVXmbISQGBJKGUSuckq,0yAIdfcwpn7FZUX2jMWUDe,1,309253,False,https://api.spotify.com/v1/tracks/6m9VVXmbISQGBJKGUSuckq,False,誰よりも duet with 菅原紗由理,,4,Track,spotify:track:6m9VVXmbISQGBJKGUSuckq
30eMlyqPvY865WD6AThkBC,0yAIdfcwpn7FZUX2jMWUDe,1,234106,False,https://api.spotify.com/v1/tracks/30eMlyqPvY865WD6AThkBC,False,No，No，No,,5,Track,spotify:track:30eMlyqPvY865WD6AThkBC
4eYQjWMQ3KK60eXodLZkfe,0yAIdfcwpn7FZUX2jMWUDe,1,230880,False,https://api.spotify.com/v1/tracks/4eYQjWMQ3KK60eXodLZkfe,False,きっと、ずっと duet with MAY’S,,6,Track,spotify:track:4eYQjWMQ3KK60eXodLZkfe
3LLPDklRT95GDxA7IG5zWv,0yAIdfcwpn7FZUX2jMWUDe,1,252280,False,https://api.spotify.com/v1/tracks/3LLPDklRT95GDxA7IG5zWv,False,Where is the love duet with Sowelu,,7,Track,spotify:track:3LLPDklRT95GDxA7IG5zWv
4qt805GQFmayyQmx1ib8dL,0yAIdfcwpn7FZUX2jMWUDe,1,285453,False,https://api.spotify.com/v1/tracks/4qt805GQFmayyQmx1ib8dL,False,Story,,8,Track,spotify:track:4qt805GQFmayyQmx1ib8dL
3RSxm4nku8hmgpqdWjSB7C,0yAIdfcwpn7FZUX2jMWUDe,1,265546,False,https://api.spotify.com/v1/tracks/3RSxm4nku8hmgpqdWjSB7C,False,君に言えなかった想い duet with May J．,,9,Track,spotify:track:3RSxm4nku8hmgpqdWjSB7C
7b0sdgFHAmjzFXotSfQ2w4,0yAIdfcwpn7FZUX2jMWUDe,1,263440,False,https://api.spotify.com/v1/tracks/7b0sdgFHAmjzFXotSfQ2w4,False,また出逢えたなら・・・duet with HanaH,,10,Track,spotify:track:7b0sdgFHAmjzFXotSfQ2w4
4OB98RBUzpK2HIYcFXNQZI,0yAIdfcwpn7FZUX2jMWUDe,1,264480,False,https://api.spotify.com/v1/tracks/4OB98RBUzpK2HIYcFXNQZI,False,You’ll be alright,,11,Track,spotify:track:4OB98RBUzpK2HIYcFXNQZI
0rOGWkv3dRRlJt7pzB0JLP,4sN72lrSpsEHClU7TQds1R,1,516840,False,https://api.spotify.com/v1/tracks/0rOGWkv3dRRlJt7pzB0JLP,False,"Concerto in A Minor for Flute, Violin, Harpsichord, Strings and Continuo, BWV 1044: I. Allegro",,11,Track,spotify:track:0rOGWkv3dRRlJt7pzB0JLP
52dm8b6NE5B38Ukxz7vrYw,0yAIdfcwpn7FZUX2jMWUDe,1,12893,False,https://api.spotify.com/v1/tracks/52dm8b6NE5B38Ukxz7vrYw,False,Intro to Song of love,,13,Track,spotify:track:52dm8b6NE5B38Ukxz7vrYw
7EvIZVYxNZb4mgfu4dFnmf,0yAIdfcwpn7FZUX2jMWUDe,1,300186,False,https://api.spotify.com/v1/tracks/7EvIZVYxNZb4mgfu4dFnmf,False,Song of love duet with 中嶋ユキノ,,14,Track,spotify:track:7EvIZVYxNZb4mgfu4dFnmf
